Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
group19,com.github.codergate.dto.analysis,AnalysisDTO,setCyclicallyDependentModularization,Long Identifier,The length of the field cyclicallyDependentModularization is 33.,142
group19,com.github.codergate.dto.installation,InstallationPayloadDTO,InstallationPayloadDTO,Long Parameter List,The method has 7 parameters. ,46
group19,com.github.codergate.dto.installation,RepositoriesRemovedDTO,RepositoriesRemovedDTO,Long Parameter List,The method has 5 parameters. ,38
group19,com.github.codergate.dto.installation,RepositoriesAddedDTO,RepositoriesAddedDTO,Long Parameter List,The method has 5 parameters. ,38
group19,com.github.codergate.dto.installation,Installation,Installation,Long Parameter List,The method has 19 parameters. ,67
group19,com.github.codergate.dto.installation,RepositoriesDTO,RepositoriesDTO,Long Parameter List,The method has 5 parameters. ,38
group19,com.github.codergate.dto.installation,Permissions,Permissions,Long Parameter List,The method has 9 parameters. ,46
group19,com.github.codergate.dto.push,HeadCommitDTO,HeadCommitDTO,Long Parameter List,The method has 11 parameters. ,67
group19,com.github.codergate.dto.push,PusherPayloadDTO,PusherPayloadDTO,Long Parameter List,The method has 14 parameters. ,76
group19,com.github.codergate.dto.push,SenderDTO,SenderDTO,Long Parameter List,The method has 18 parameters. ,87
group19,com.github.codergate.dto.push,CommitDTO,CommitDTO,Long Parameter List,The method has 11 parameters. ,67
group19,com.github.codergate.dto.push,RepositoryDTO,RepositoryDTO,Long Parameter List,The method has 81 parameters. ,282
group19,com.github.codergate.dto.push,OwnerDTO,OwnerDTO,Long Parameter List,The method has 20 parameters. ,93
group19,com.github.codergate.dto.threshold,ThresholdDTO,ThresholdDTO,Long Identifier,The length of the parameter cyclicallyDependentModularization is 33.,58
group19,com.github.codergate.dto.threshold,ThresholdDTO,ThresholdDTO,Long Identifier,The length of the field cyclicallyDependentModularization is 33.,58
group19,com.github.codergate.dto.threshold,ThresholdDTO,ThresholdDTO,Long Parameter List,The method has 17 parameters. ,58
group19,com.github.codergate.dto.threshold,ThresholdDTO,getCyclicallyDependentModularization,Long Identifier,The length of the field cyclicallyDependentModularization is 33.,173
group19,com.github.codergate.dto.threshold,ThresholdDTO,setCyclicallyDependentModularization,Long Identifier,The length of the parameter cyclicallyDependentModularization is 33.,178
group19,com.github.codergate.dto.threshold,ThresholdDTO,setCyclicallyDependentModularization,Long Identifier,The length of the field cyclicallyDependentModularization is 33.,178
group19,com.github.codergate.services.utility,PullRequestUtil,checkThreshold,Complex Conditional,The conditional expression analysisEntity.getBugs() > thresholdEntity.getBugs() || analysisEntity.getCodeSmell() > thresholdEntity.getCodeSmell() || analysisEntity.getCyclomaticComplexity() > thresholdEntity.getCyclomaticComplexity() || analysisEntity.getDocumentedLines() > thresholdEntity.getDocumentedLines() || analysisEntity.getDuplicatedLines() > thresholdEntity.getDuplicatedLines() || analysisEntity.getTestCoverage() > thresholdEntity.getTestCoverage() || analysisEntity.getVulnerabilities() > thresholdEntity.getVulnerabilities() is complex.,9
group19,com.github.codergate.services.utility,PullRequestUtil,checkThreshold,Long Statement,The length of the statement "if (analysisEntity.getBugs() > thresholdEntity.getBugs() || analysisEntity.getCodeSmell() > thresholdEntity.getCodeSmell() || analysisEntity.getCyclomaticComplexity() > thresholdEntity.getCyclomaticComplexity() || analysisEntity.getDocumentedLines() > thresholdEntity.getDocumentedLines() || analysisEntity.getDuplicatedLines() > thresholdEntity.getDuplicatedLines() || analysisEntity.getTestCoverage() > thresholdEntity.getTestCoverage() || analysisEntity.getVulnerabilities() > thresholdEntity.getVulnerabilities()) {" is 519.,9
group19,com.github.codergate.services.utility,RepositoryUtil,getCommitsInformation,Long Statement,The length of the statement "String apiUrl=String.format("https://api.github.com/repos/%s/%s/commits"`userEntity.getUserName()`repositoryEntity.getRepositoryName());" is 136.,30
group19,com.github.codergate.entities,AnalysisEntity,AnalysisEntity,Long Parameter List,The method has 5 parameters. ,66
group19,com.github.codergate.entities,ThresholdEntity,getCyclicallyDependentModularization,Long Identifier,The length of the field cyclicallyDependentModularization is 33.,136
group19,com.github.codergate.entities,ThresholdEntity,setCyclicallyDependentModularization,Long Identifier,The length of the parameter cyclicallyDependentModularization is 33.,140
group19,com.github.codergate.entities,ThresholdEntity,setCyclicallyDependentModularization,Long Identifier,The length of the field cyclicallyDependentModularization is 33.,140
